session_id,scenario_name,student_role,ai_model,first_mover,config,total_rounds,outcome,major,gender,negotiation_experience,created_at,updated_at
2622fb2f-71c9-4dac-92f2-1e44ea7e5dfa,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,✅ Deal,Epidemiology,Female,None,2025-12-15 22:23,2025-12-15 23:23
c978c1a5-38bb-4eb2-b47b-983b7031f162,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-15 22:22,2025-12-15 22:23
25f98936-220c-43cb-a1d2-15c200f3e1f8,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,Epidemiology,Female,None,2025-12-15 22:21,2025-12-15 22:22
b6a7a7da-2991-4f51-8665-a894b844c395,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,Epidemiology,Female,None,2025-12-15 22:20,2025-12-15 22:21
58bb3885-5c8b-4af0-a16e-30f22aaf88e3,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,✅ Deal,Business,Male,None,2025-12-15 22:08,2025-12-16 20:33
2ba4f8f4-9dee-4ca4-aa02-584bcac69782,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,✅ Deal,Master of Business Administration,Female,A few instances,2025-12-15 20:28,2025-12-15 22:06
8609369e-d553-4770-9bc6-fbf23e26ba34,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,Master of Business Administration,Female,A few instances,2025-12-15 20:10,2025-12-15 20:13
d5d61cc7-ca42-474f-8ed6-2657591b8127,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,MBA,Female,Occasional,2025-12-15 19:32,2025-12-15 20:41
94336fb2-fcb1-4bbe-8bc0-65859b60eb61,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,MBA,Female,Occasional,2025-12-15 19:30,2025-12-15 19:32
250a2b4a-f041-4f89-977b-e611add7438e,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,✅ Deal,MBA,Male,None,2025-12-15 19:24,2025-12-15 21:02
8966a517-e5a3-4f57-9f9b-bd53a3b2463f,Top_talent,side2,openai/gpt-5,👤 Student,🧠🎯 M+P,6,✅ Deal,Theater Management,Female,Occasional,2025-12-15 18:00,2025-12-15 19:22
8ffca646-02c4-4854-ab9a-1cc6a6edb4ac,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,✅ Deal,Arrchitecture,Male,A few instances,2025-12-15 16:00,2025-12-16 02:04
b15807c1-e9e1-4700-9ed8-809f2a471dba,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,Arrchitecture,Male,A few instances,2025-12-15 15:59,2025-12-15 16:00
cbc7bdb2-4926-44e5-8191-1ac43804e682,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,✅ Deal,GBS,Male,A few instances,2025-12-15 14:05,2025-12-15 14:54
4c7d9487-803a-4243-8517-fa564322ec99,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,GBS,Male,A few instances,2025-12-15 14:03,2025-12-15 14:06
